UNIX_time[sec],CP_ref_x,CP_ref_y,ZMP_des_x,ZMP_des_y,CoM_position_x,CoM_positon_y,CP_lip_x,CP_lip_y
1.57744e+09,6.91582e-310,6.91582e-310,-2.71489e-310,-2.61787e-310,1.35826e-310,1.38601e-310,5.48792e-310,5.54229e-310,
1.57744e+09,6.91582e-310,6.91582e-310,-2.52136e-310,-2.42535e-310,1.41394e-310,1.44203e-310,5.59638e-310,5.65019e-310,
1.57744e+09,6.91582e-310,6.91582e-310,-2.32984e-310,-2.23483e-310,1.47028e-310,1.4987e-310,5.70372e-310,5.75697e-310,
1.57744e+09,6.91582e-310,6.91582e-310,-2.14031e-310,-2.04628e-310,1.52727e-310,1.55599e-310,5.80994e-310,5.86264e-310,
1.57744e+09,6.91582e-310,6.91582e-310,-1.95274e-310,-1.85969e-310,1.58487e-310,1.61389e-310,5.91506e-310,5.96722e-310,
1.57744e+09,6.91582e-310,6.91582e-310,-1.76712e-310,-1.67503e-310,1.64307e-310,1.67238e-310,6.0191e-310,6.07071e-310,
1.57744e+09,6.91582e-310,6.91582e-310,-1.58342e-310,-1.49229e-310,1.70184e-310,1.73143e-310,6.12205e-310,6.17312e-310,
1.57744e+09,6.91582e-310,6.91582e-310,-1.40163e-310,-1.31144e-310,1.76116e-310,1.79102e-310,6.22393e-310,6.27448e-310,
1.57744e+09,6.91582e-310,6.91582e-310,-1.22172e-310,-1.13247e-310,1.82101e-310,1.85114e-310,6.32476e-310,6.37478e-310,
1.57744e+09,6.91582e-310,6.91582e-310,-1.04368e-310,-9.5535e-311,1.88138e-310,1.91175e-310,6.42454e-310,6.47405e-310,
1.57744e+09,6.91582e-310,6.91582e-310,-8.67482e-311,-7.80071e-311,1.94224e-310,1.97285e-310,6.52329e-310,6.57228e-310,
1.57744e+09,6.91582e-310,6.91582e-310,-6.93114e-311,-6.06609e-311,2.00357e-310,2.0344e-310,6.62102e-310,6.6695e-310,
1.57744e+09,6.91582e-310,6.91582e-310,-5.20554e-311,-4.34946e-311,2.06535e-310,2.0964e-310,6.71773e-310,6.7657e-310,
1.57744e+09,6.91582e-310,6.91582e-310,-3.49783e-311,-2.65063e-311,2.12757e-310,2.15883e-310,6.81343e-310,6.86091e-310,
1.57744e+09,6.91582e-310,6.91582e-310,-1.80784e-311,-9.69424e-312,2.1902e-310,2.22166e-310,6.90815e-310,6.95514e-310,
1.57744e+09,6.91582e-310,6.91582e-310,-1.35369e-312,6.94351e-312,2.25322e-310,2.28488e-310,7.00188e-310,7.04838e-310,
1.57744e+09,6.91582e-310,6.91582e-310,1.51976e-311,2.34087e-311,2.31663e-310,2.34847e-310,7.09464e-310,7.14066e-310,
1.57744e+09,6.91582e-310,6.91582e-310,3.15772e-311,3.97032e-311,2.3804e-310,2.41242e-310,7.18644e-310,7.23198e-310,
1.57744e+09,6.91582e-310,6.91582e-310,4.77869e-311,5.58287e-311,2.44452e-310,2.4767e-310,7.27729e-310,7.32236e-310,
1.57744e+09,6.91582e-310,6.91582e-310,6.38286e-311,7.17869e-311,2.50896e-310,2.5413e-310,7.36719e-310,7.4118e-310,
1.57744e+09,6.91582e-310,6.91582e-310,7.97039e-311,8.75797e-311,2.57371e-310,2.6062e-310,7.45617e-310,7.50031e-310,
1.57744e+09,6.91582e-310,6.91582e-310,9.54146e-311,1.03209e-310,2.63877e-310,2.6714e-310,7.54422e-310,7.5879e-310,
1.57744e+09,6.91582e-310,6.91582e-310,1.10962e-310,1.18676e-310,2.7041e-310,2.73687e-310,7.63135e-310,7.67458e-310,
1.57744e+09,6.91582e-310,6.91582e-310,1.26349e-310,1.33982e-310,2.7697e-310,2.80259e-310,7.71758e-310,7.76037e-310,
1.57744e+09,6.91582e-310,6.91582e-310,1.41576e-310,1.4913e-310,2.83554e-310,2.86856e-310,7.80292e-310,7.84526e-310,
1.57744e+09,6.91582e-310,6.91582e-310,1.56645e-310,1.64121e-310,2.90163e-310,2.93475e-310,7.88738e-310,7.92928e-310,
1.57744e+09,6.91582e-310,6.91582e-310,1.71558e-310,1.78956e-310,2.96793e-310,3.00116e-310,7.97096e-310,8.01242e-310,
